Vilnius;Priegliaus g.1;;;;;;;;;;;;
Vilnius;Bieliūnų g.1;;;;;;;;;;;;
Vilnius;Žirmūnų g.64;;;;;;;;;;;;
Vilnius;Savanorių g.16;;;;;;;;;;;;
Vilnius;Linkmenų g.22;;;;;;;;;;;;
Vilnius;Viršuliškių g. 40;;;;;;;;;;;;
Vilnius;Ateities g.91;;;;;;;;;;;;
Kaunas;Savanorių pr.111;;;;;;;;;;;;
Kaunas;Žemaičių pl.23;;;;;;;;;;;;
Kaunas;Savanorių pr.321;;;;;;;;;;;;
Kaunas;Jonavos g.60;;;;;;;;;;;;
Klaipėda;Taikos pr.64;;;;;;;;;;;;
Klaipėda;Taikos pr.139;;;;;;;;;;;;
Panevėžys;Klaipėdos g.82;;;;;;;;;;;;
Šiauliai;Gegužių g.30;;;;;;;;;;;;
Kaunas;V. Krėvės pr.43;;;;;;;;;;;;
Vilnius;Architektų g.19;;;;;;;;;;;;
Kaunas;A. Juozapavičiaus pr.11;;;;;;;;;;;;
Vilnius;Upės g.9;;;;;;;;;;;;
Vilnius;Antakalnio g.73;;;;;;;;;;;;
Varėna;Vytauto g.18;;;;;;;;;;;;
Vilkaviškis;Vytauto g.101;;;;;;;;;;;;
Jurbarkas;Dariaus ir Girėno g.25;;;;;;;;;;;;
Biržai;Vytauto g.27;;;;;;;;;;;;
Palanga;Malūno g.10;;;;;;;;;;;;
Šilalė;J. Basanavičiaus g.21;;;;;;;;;;;;
Kelmė;S. Šilingo g.5;;;;;;;;;;;;
Šiauliai;Tilžės g.109;;;;;;;;;;;;
Ukmergė;Vytauto g.113;;;;;;;;;;;;
Marijampolė;Dariaus ir Girėno g.3A;;;;;;;;;;;;
Visaginas;Veteranų g.2;;;;;;;;;;;;
Trakai;Vytauto g.60;;;;;;;;;;;;
Kaunas;Europos pr. 43;;;;;;;;;;;;
Alytus;Ūdrijos g.1;;;;;;;;;;;;
Kaunas;Šiaurės pr.91;;;;;;;;;;;;
Klaipėda;Šaulių g.11;;;;;;;;;;;;
Pakruojis;Statybininkų g.4;;;;;;;;;;;;
