Vilnius;Akropolis;Ozo g. 25
Vilnius;Maxima XXX;Ukmergės g. 282
Vilnius;Maxima XX;Liepkalnio g. 112
Vilnius;Banginis;P. Lukšio g. 34
Vilnius;Centrinis paštas;Gedimino pr. 7
Vilnius;Maxima XX;J. Tiškevičiaus g. 22
Vilnius;Panorama;Saltoniškių g. 9
Vilnius;Circle K;Laisvės pr. 43C
Vilnius;IKI Minskas;Žirmūnų g. 2
Vilnius;Verslo trikampis;J. Jasinskio g. 16
Vilnius;Circle K;Baltupio g. 10
Vilnius;Maxima XX;Pilaitės pr. 31
Vilnius;BIG;Ukmergės g. 369
Vilnius;IKI Mindaugo;Mindaugo g. 25
Vilnius;Maxima XX;Tuskulėnų g. 66
Vilnius;Maxima XX;Naugarduko g. 84
Vilnius;Geležinkelio stotis;Geležinkelio g. 16
Vilnius;IKI Fabijoniškės;Fabijoniškių g. 2A
Vilnius;Maxima XX;Žalgirio g. 105
Vilnius;Rimi Erfurtas;Architektų g. 19
Vilnius;Ozas;Ozo g. 18
Vilnius;IKI Visoriai;Bajorų kelias 4
Vilnius;IKI Antakalnis;Nemenčinės pl. 2
Vilnius;IKI Papartis;Architektų g. 43
Vilnius;Nordika;Vikingų g. 3
Vilnius;Rimi Jeruzalė;Jeruzalės g. 4
Vilnius;Maxima XX;Pergalės g. 42
Vilnius;Maxima XX;Taikos g. 162A
Vilnius;Rimi Užupis;Zarasų g. 5A
Vilnius;Rimi Kareivių;Kareivių g. 11A
Vilnius;IKI Žalieji ežerai;Visalaukio g. 1
Vilnius;Maxima XX;Laisvės pr. 26
Vilnius;CUP;Upės g. 9
Vilnius;Maxima X;Antakalnio g. 75A
Vilnius;Maxima XXX;Mindaugo g. 11
Vilnius;Norfa H;Savanorių pr. 176
Vilnius;Norfa XL;Genių g. 10A
Vilnius;Maxima XX;Viršuliškių g. 30
Vilnius;IKI Pavilnys;Juodasis kelias 35A
Vilnius;Mandarinas;Ateities g. 91
Vilnius;IKI Pašilaičiai;Gabijos g. 34
Vilnius;Helios City;Savanorių pr. 1
Vilnius;IKI Baltupiai;Didlaukio g. 80A
Vilnius;Rimi Mylia;Kedrų g. 4
Vilnius;Maxima X;Savanorių pr. 31
Vilnius;Siuntų skyrius;Jeruzalės g. 14
Vilnius;Maxima X;Medeinos g. 39
Vilnius;Domus Pro;Ukmergės g. 308
Vilnius;Maxima X;Nemenčinės pl. 33
Vilnius;Maxima X;Dariaus ir Girėno g. 19B
Vilnius;NORFA XL;Rygos g. 49
Vilnius;Rimi Pilaitė;Vydūno g. 4
Vilnius;IKI Pavasaris;Jonažolių g. 1
Vilnius;IKI Šeškinė;Šeškinės g. 32
Vilnius;Rimi Šiaurės miestelis;Žirmūnų g. 64
Vilnius;Maxima XX;Sausio 13-osios g. 2
Vilnius;G9;Gedimino pr. 9
Vilnius;Pigu.lt;Saltoniškių g.29
Vilnius;Unipark parkavimo aikštelė;Dominikonų g. 4
Vilnius;Rimi;Šiaurės g. 37
Vilnius;Norfa;A. P. Kavoliuko g. 6
Vilnius;Norfa;Salininkų g. 129A
Vilnius;IKI;Saulėtekio al. 43
Vilnius;Norfa;Fabriko g. 155
Vilnius;Rimi;Rygos g. 8
Vilnius;Maxima;Santaros g. 5
Vilnius;Maxima;Žaliųjų ežerų g. 207, Balsiai
Vilnius;Rimi;Pavilnionių g. 22
Vilnius;Verslo parkas Gariūnai;Gariūnų g. 70
Kaunas;Akropolis;Karaliaus Mindaugo pr. 49
Kaunas;Maxima XXX;Savanorių pr. 255
Kaunas;Maxima Bazė;Veiverių g. 150B
Kaunas;Maxima XX;Raudondvario pl. 284A
Kaunas;MEGA;Islandijos pl. 32
Kaunas;Banginis;Pramonės pr. 6 / Draugystės g. 8
Kaunas;Maxima XXX;Pramonės pr. 29
Kaunas;Norfa XXL;A. Juozapavičiaus pr. 84A
Kaunas;Circle K;Žemaičių pl. 19
